key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718707546801438780,1718707548519243340,593460410543997,593460770138908,593461225668502,593461225699424,empty,empty,empty
1718707546834717722,1718707548524492863,593460481126503,593460770138908,593461225668502,593461226022423,empty,empty,empty
1718707546868526711,1718707548525096045,593460538975991,593460770138908,593461225668502,593461226202082,empty,empty,empty
1718707546968731532,1718707548531387386,593460720433011,593460770138908,593461225668502,593461226559171,empty,empty,empty
1718707547033181516,1718707548862648330,593460852256568,593461226710209,593461562876347,593461562909760,empty,empty,empty
1718707547068308474,1718707548863258729,593460915165501,593461226710209,593461562876347,593461563158237,empty,empty,empty
1718707547134810909,1718707548878422394,593461020829267,593461226710209,593461562876347,593461563275192,empty,empty,empty
1718707547164722273,1718707548879026334,593461075882123,593461226710209,593461562876347,593461563374701,empty,empty,empty
1718707547202154745,1718707548879717644,593461153789588,593461226710209,593461562876347,593461563464695,empty,empty,empty
1718707547333610995,1718707549190112492,593461224489405,593461563560273,593461896392797,593461896425606,empty,empty,empty
1718707547366218649,1718707549197004796,593461286261316,593461563560273,593461896392797,593461896655134,empty,empty,empty
1718707547398069362,1718707549198402490,593461332986927,593461563560273,593461896392797,593461897010369,empty,empty,empty
1718707547434759403,1718707549198987289,593461422070667,593461563560273,593461896392797,593461897213811,empty,empty,empty
1718707547468341532,1718707549199740936,593461471342622,593461563560273,593461896392797,593461897317942,empty,empty,empty
1718707547565613081,1718707549618763302,593461605117986,593461897444264,593462320421333,593462320459492,empty,empty,121.4399957275391
1718707547601649881,1718707549625033725,593461641414065,593461897444264,593462320421333,593462320714398,empty,empty,121.4399957275391
1718707547635440326,1718707549625495689,593461674453032,593461897444264,593462320421333,593462320864358,empty,empty,121.4399957275391
1718707547765078433,1718707549626293859,593461757555014,593461897444264,593462320421333,593462320978321,empty,empty,121.4399957275391
1718707547801689827,1718707549626684659,593461841842187,593461897444264,593462320421333,593462321055043,empty,empty,121.4399957275391
1718707548001718034,1718707550171711295,593461955799447,593462321198903,593462879321159,593462879355023,empty,empty,121.4399957275391
1718707548135037518,1718707550208540636,593462060966373,593462321198903,593462879321159,593462879565778,empty,empty,121.4399957275391
1718707548168396700,1718707550209303564,593462140982440,593462321198903,593462879321159,593462879735373,empty,empty,121.4399957275391
1718707548198144211,1718707550209938413,593462210030470,593462321198903,593462879321159,593462879842166,empty,empty,121.4399957275391
1718707548234496401,1718707550210643033,593462225861163,593462321198903,593462879321159,593462879949081,empty,empty,121.4399957275391
1718707548401684484,1718707550531336627,593462414466846,593462880105540,593463230196014,593463230229599,empty,empty,116.16000083923336
1718707548535395984,1718707550550755720,593462522017334,593462880105540,593463230196014,593463230481548,empty,empty,116.16000083923336
1718707548568111394,1718707550551332057,593462574655339,593462880105540,593463230196014,593463230639548,empty,empty,116.16000083923336
1718707548735139829,1718707550551966810,593462715936469,593462880105540,593463230196014,593463230765554,empty,empty,116.16000083923336
1718707548766782081,1718707550552880008,593462805438281,593462880105540,593463230196014,593463230866953,empty,empty,116.16000083923336
1718707548901320189,1718707550862460984,593462875624023,593463231004046,593463565369528,593463565404378,empty,empty,116.16000083923336
1718707548934706215,1718707550880788378,593462969893755,593463231004046,593463565369528,593463565657380,empty,empty,116.16000083923336
1718707549034600214,1718707550881547669,593463047881444,593463231004046,593463565369528,593463566181910,empty,empty,116.16000083923336
1718707549067772546,1718707550882534961,593463116371660,593463231004046,593463565369528,593463566383470,empty,empty,116.16000083923336
1718707549262484506,1718707551176158844,593463317316299,593463566515867,593463882735178,593463882767373,empty,empty,116.16000083923336
1718707549367738719,1718707551190050200,593463343360373,593463566515867,593463882735178,593463882993175,empty,empty,116.16000083923336
1718707549401483064,1718707551190706634,593463397821926,593463566515867,593463882735178,593463883122136,empty,empty,116.16000083923336
1718707549532213928,1718707551202776068,593463477373828,593463566515867,593463882735178,593463883330193,empty,empty,116.16000083923336
1718707549666357065,1718707551631314643,593463644478487,593463883468957,593464328482770,593464328516245,empty,empty,126.72000320434563
1718707549701671337,1718707551631932015,593463688275775,593463883468957,593464328482770,593464328823562,empty,empty,126.72000320434563
1718707549734655073,1718707551636638640,593463742609733,593463883468957,593464328482770,593464329026061,empty,empty,126.72000320434563
1718707549834652904,1718707551641467773,593463772260171,593463883468957,593464328482770,593464329195110,empty,empty,126.72000320434563
1718707550134331447,1718707552020421101,593463996050892,593464329544767,593464723316363,593464723349173,empty,empty,126.72000320434563
1718707550234316197,1718707552059976873,593464083560661,593464329544767,593464723316363,593464723639435,empty,empty,126.72000320434563
1718707550267653226,1718707552060717016,593464111069651,593464329544767,593464723316363,593464723800751,empty,empty,126.72000320434563
1718707550301201296,1718707552061625793,593464198039494,593464329544767,593464723316363,593464723933512,empty,empty,126.72000320434563
1718707550434520620,1718707552062384476,593464242248174,593464329544767,593464723316363,593464724074299,empty,empty,126.72000320434563
1718707550629673730,1718707552374816928,593464423366049,593464724217509,593465083156563,593465083193160,empty,empty,126.72000320434563
1718707550733095678,1718707552388478129,593464481492616,593464724217509,593465083156563,593465083429507,empty,empty,126.72000320434563
1718707550767788446,1718707552389944282,593464498373527,593464724217509,593465083156563,593465083553503,empty,empty,126.72000320434563
1718707550801478664,1718707552390479318,593464531992504,593464724217509,593465083156563,593465083662844,empty,empty,126.72000320434563
1718707550933701268,1718707552391016583,593464608954218,593464724217509,593465083156563,593465083765628,empty,empty,126.72000320434563
1718707550968006206,1718707552664703376,593464705204695,593465085011735,593465372210126,593465372244126,empty,empty,131.99999809265137
1718707551101277342,1718707552669881763,593464807178939,593465085011735,593465372210126,593465372498895,empty,empty,131.99999809265137
1718707551199869610,1718707552677298492,593465009848010,593465085011735,593465372210126,593465372757372,empty,empty,131.99999809265137
1718707551234492780,1718707552950777770,593465127895827,593465372922347,593465656323670,593465656354059,empty,empty,131.99999809265137
1718707551334825424,1718707553001546937,593465130180345,593465372922347,593465656323670,593465656578934,empty,empty,131.99999809265137
1718707551467826854,1718707553002401180,593465227802537,593465372922347,593465656323670,593465656679082,empty,empty,131.99999809265137
1718707551501379848,1718707553011247359,593465308616237,593465372922347,593465656323670,593465656754333,empty,empty,131.99999809265137
1718707551567830635,1718707553160063057,593465403219760,593465658005867,593465865057684,593465865093718,empty,empty,131.99999809265137
1718707551601897816,1718707553203087847,593465485358801,593465658005867,593465865057684,593465865335558,empty,empty,131.99999809265137
1718707551634885326,1718707553203705770,593465554178868,593465658005867,593465865057684,593465865427408,empty,empty,131.99999809265137
1718707551701474816,1718707553204209236,593465598582738,593465658005867,593465865057684,593465865509281,empty,empty,131.99999809265137
1718707551734524085,1718707553282031061,593465737672069,593465866691741,593465984890340,593465984918558,empty,empty,131.99999809265137
1718707551768690145,1718707553288465983,593465796794017,593465866691741,593465984890340,593465985128874,empty,empty,131.99999809265137
1718707551898487674,1718707553363630900,593465958453434,593465986352741,593466072828736,593466072861256,empty,empty,131.99999809265137
1718707551967905018,1718707553425931905,593466007752010,593466074233552,593466133991310,593466134024211,empty,empty,116.16000083923336
1718707552001474458,1718707553520519489,593466152914414,593466154333341,593466223992719,593466224066401,empty,empty,116.16000083923336
1718707552034205391,1718707553583872986,593466230872882,593466232310059,593466291512778,593466291548114,empty,empty,116.16000083923336
1718707552168287192,1718707553654523921,593466264628191,593466292928106,593466363636983,593466363669805,empty,empty,116.16000083923336
1718707552201765617,1718707553732296028,593466357039326,593466365038996,593466428367955,593466428401421,empty,empty,116.16000083923336
1718707552234386717,1718707553792813829,593466406340138,593466429760469,593466490870630,593466490902260,empty,empty,116.16000083923336
1718707552401787099,1718707553861146445,593466488113230,593466492236370,593466566967124,593466566999332,empty,empty,116.16000083923336
1718707552431097227,1718707553927758369,593466573257396,593466574779098,593466632348565,593466632398051,empty,empty,116.16000083923336
1718707552467792211,1718707553996746548,593466632713906,593466634387354,593466700250198,593466700292489,empty,empty,116.16000083923336
1718707552501771146,1718707554114715660,593466653424178,593466701680932,593466822498489,593466822553113,empty,empty,116.16000083923336
1718707552530901957,1718707554258377571,593466766515270,593466824854154,593466962085865,593466962133740,empty,empty,116.16000083923336
1718707552565748247,1718707554296689258,593466793241818,593466824854154,593466962085865,593466962360316,empty,empty,116.16000083923336
1718707552667726615,1718707554331850168,593466891516148,593466963624419,593467033418557,593467033451541,empty,empty,116.16000083923336
1718707552700324037,1718707554403054004,593466981790832,593467035225438,593467111871902,593467111901775,empty,empty,116.16000083923336
1718707552734949863,1718707554526464822,593467036918032,593467113321337,593467235181284,593467235213597,empty,empty,116.16000083923336
1718707552867946737,1718707554544073410,593467063943934,593467113321337,593467235181284,593467235459971,empty,empty,116.16000083923336
1718707552901975679,1718707554660182306,593467125488022,593467236751092,593467364687881,593467364721433,empty,empty,116.16000083923336
1718707552933039468,1718707554670112535,593467222281539,593467236751092,593467364687881,593467364944931,empty,empty,116.16000083923336
1718707553167710857,1718707554723861227,593467296969703,593467366223118,593467432274915,593467432309155,empty,empty,116.16000083923336
1718707553196320222,1718707554787568928,593467381719816,593467433666465,593467493262927,593467493295582,empty,empty,116.16000083923336
1718707553235722347,1718707554944764038,593467443224155,593467494720913,593467652786841,593467652819576,empty,empty,116.16000083923336
1718707553267434777,1718707554950125065,593467461932781,593467494720913,593467652786841,593467653019252,empty,empty,116.16000083923336
1718707553301593966,1718707555196069939,593467520076736,593467654321038,593467904053766,593467904089279,empty,empty,116.16000083923336
1718707553432177003,1718707555202296816,593467597912295,593467654321038,593467904053766,593467904451587,empty,empty,116.16000083923336
1718707553464093854,1718707555202907553,593467649292572,593467654321038,593467904053766,593467904567529,empty,empty,116.16000083923336
1718707553498770721,1718707555426493336,593467744478718,593467905800072,593468135613882,593468135647615,empty,empty,110.87999336242683
1718707553630002775,1718707555432037666,593467808981120,593467905800072,593468135613882,593468135901274,empty,empty,110.87999336242683
1718707553701173900,1718707555432502580,593467889481229,593467905800072,593468135613882,593468136066475,empty,empty,110.87999336242683
1718707553833374677,1718707555641984377,593467933890012,593468137337745,593468348600064,593468348635558,empty,empty,110.87999336242683
1718707553868285464,1718707555648620935,593468001807022,593468137337745,593468348600064,593468348882057,empty,empty,110.87999336242683
1718707553902209640,1718707555649106474,593468074156691,593468137337745,593468348600064,593468349381942,empty,empty,110.87999336242683
1718707554030620243,1718707555961944184,593468163586434,593468350673073,593468662254190,593468662288721,empty,empty,110.87999336242683
1718707554098962873,1718707555967811327,593468239705030,593468350673073,593468662254190,593468662623135,empty,empty,110.87999336242683
1718707554234645078,1718707555968399609,593468308065577,593468350673073,593468662254190,593468662694309,empty,empty,110.87999336242683
1718707554268088475,1718707556316616608,593468357388429,593468662794984,593469019125527,593469019161314,empty,empty,110.87999336242683
1718707554300801044,1718707556346635761,593468419829261,593468662794984,593469019125527,593469019485124,empty,empty,110.87999336242683
1718707554501155558,1718707556347965531,593468501389154,593468662794984,593469019125527,593469019683459,empty,empty,110.87999336242683
1718707554701292019,1718707556679362279,593468702849083,593469019821300,593469382823977,593469382858392,empty,empty,105.5999984741211
1718707554834755644,1718707556683521026,593468767958033,593469019821300,593469382823977,593469383112778,empty,empty,105.5999984741211
1718707554901858149,1718707556688393853,593468873060711,593469019821300,593469382823977,593469383359890,empty,empty,105.5999984741211
1718707555001301998,1718707556694040081,593468916612359,593469019821300,593469382823977,593469383450109,empty,empty,105.5999984741211
1718707555034491973,1718707556983916814,593468961289489,593469383572240,593469689461924,593469689495717,empty,empty,105.5999984741211
1718707555167014054,1718707556984673226,593469060380427,593469383572240,593469689461924,593469689751517,empty,empty,105.5999984741211
1718707555201331175,1718707556990845524,593469192791903,593469383572240,593469689461924,593469689909084,empty,empty,105.5999984741211
1718707555334349900,1718707556993894185,593469253651171,593469383572240,593469689461924,593469690128234,empty,empty,105.5999984741211
1718707555367270803,1718707557379756233,593469323112139,593469690260562,593470079076392,593470079156502,empty,empty,105.5999984741211
1718707555568109706,1718707557408730567,593469422180799,593469690260562,593470079076392,593470079433003,empty,empty,105.5999984741211
1718707555632183661,1718707557409819914,593469504909423,593469690260562,593470079076392,593470079743971,empty,empty,105.5999984741211
1718707555701058100,1718707557411046104,593469576720349,593469690260562,593470079076392,593470079882196,empty,empty,105.5999984741211
1718707555934258181,1718707557761418484,593469804086754,593470080101348,593470467186945,593470467219179,empty,empty,116.16000083923336
1718707556034162794,1718707557801368569,593469883753683,593470080101348,593470467186945,593470467463473,empty,empty,116.16000083923336
1718707556067081513,1718707557802316870,593469946175261,593470080101348,593470467186945,593470469995724,empty,empty,116.16000083923336
1718707556099291184,1718707557807639734,593469956694307,593470080101348,593470467186945,593470470168204,empty,empty,116.16000083923336
1718707556234641654,1718707558077921567,593470100249904,593470470465564,593470783907642,593470783940948,empty,empty,116.16000083923336
1718707556330916737,1718707558078828585,593470166436470,593470470465564,593470783907642,593470784266241,empty,empty,116.16000083923336
1718707556367481613,1718707558084400630,593470196255792,593470470465564,593470783907642,593470784394798,empty,empty,116.16000083923336
1718707556535101282,1718707558295085620,593470329120503,593470785710053,593471003591332,593471003625912,empty,empty,116.16000083923336
1718707556567856114,1718707558307418388,593470746256686,593470785710053,593471003591332,593471003865451,empty,empty,116.16000083923336
1718707556634633906,1718707558308118802,593470782065345,593470785710053,593471003591332,593471004032423,empty,empty,116.16000083923336
1718707556834117109,1718707558436156641,593470909488235,593471005279226,593471144405265,593471144438341,empty,empty,116.16000083923336
1718707556867449242,1718707558465602907,593470963595767,593471005279226,593471144405265,593471144659930,empty,empty,116.16000083923336
1718707556967310387,1718707558513548392,593471066296381,593471145937464,593471218557992,593471218590332,empty,empty,116.16000083923336
1718707557033013367,1718707558663705510,593471153574661,593471219950814,593471370536372,593471370569655,empty,empty,116.16000083923336
1718707557134066904,1718707558664532208,593471203449649,593471219950814,593471370536372,593471370807284,empty,empty,116.16000083923336
1718707557167776263,1718707558927678300,593471257577665,593471372206718,593471634308313,593471634352893,empty,empty,116.16000083923336
1718707557201583890,1718707558937365855,593471276423063,593471372206718,593471634308313,593471634632036,empty,empty,116.16000083923336
1718707557301313566,1718707558938026462,593471362870198,593471372206718,593471634308313,593471634786710,empty,empty,116.16000083923336
1718707557367963749,1718707559253712090,593471457818687,593471636046696,593471957472906,593471957503766,empty,empty,116.16000083923336
