key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718725263207167897,1718725265113349241,37365634078611,37365726468491,37367473697125,37367473757162,94.54375,80.0,172.9200025367736
1718725263243782735,1718725265119072727,37365651088391,37365726468491,37367473697125,37367478530433,94.54375,80.0,172.9200025367736
1718725263243782735,1718725265122109613,37365653757740,37365726468491,37367473697125,37367483408513,94.54375,80.0,172.9200025367736
1718725263276427590,1718725265122685030,37365673439723,37365726468491,37367473697125,37367486232121,94.54375,80.0,172.9200025367736
1718725263276427590,1718725265123114267,37365696936394,37365726468491,37367473697125,37367487413995,94.54375,80.0,172.9200025367736
1718725264842980760,1718725266885041542,37367257365615,37367488668702,37369249691871,37369249720893,90.1625,81.0,183.40000534057617
1718725264943664760,1718725266886572182,37367340356760,37367488668702,37369249691871,37369251176384,90.1625,81.0,183.40000534057617
1718725264943664760,1718725266887788081,37367366743816,37367488668702,37369249691871,37369252623413,90.1625,81.0,183.40000534057617
1718725265009519314,1718725266888862592,37367423063898,37367488668702,37369249691871,37369253703727,90.1625,81.0,183.40000534057617
1718725265009519314,1718725266889777360,37367433057601,37367488668702,37369249691871,37369254707906,90.1625,81.0,183.40000534057617
1718725266743443423,1718725268406271956,37369145878030,37369255889037,37370767212665,37370767260709,89.44375,81.0,178.16001018524184
1718725266743443423,1718725268407356190,37369176789752,37369255889037,37370767212665,37370771632452,89.44375,81.0,178.16001018524184
1718725266777236593,1718725268408268144,37369195537703,37369255889037,37370767212665,37370772141450,89.44375,81.0,178.16001018524184
1718725266807453565,1718725268408819325,37369207768185,37369255889037,37370767212665,37370772326949,89.44375,81.0,178.16001018524184
1718725266807453565,1718725268411390549,37369210159341,37369255889037,37370767212665,37370773686044,89.44375,81.0,178.16001018524184
1718725268209448164,1718725270300134088,37370633075210,37370774010000,37372663853581,37372663926662,91.39375,82.0,178.16001018524184
1718725268240684646,1718725270302446836,37370636982669,37370774010000,37372663853581,37372666631873,91.39375,82.0,178.16001018524184
1718725268240684646,1718725270304450819,37370650932680,37370774010000,37372663853581,37372668218716,91.39375,82.0,178.16001018524184
1718725268276191072,1718725270305312008,37370699203922,37370774010000,37372663853581,37372669994701,91.39375,82.0,178.16001018524184
1718725268309545654,1718725270309530158,37370722544123,37370774010000,37372663853581,37372671113958,91.39375,82.0,178.16001018524184
1718725270039746332,1718725272046789185,37372454865026,37372673610394,37374409222726,37374409266636,92.39375000000001,82.0,167.68000738143928
1718725270076173199,1718725272047556879,37372481162024,37372673610394,37374409222726,37374410257170,92.39375000000001,82.0,167.68000738143928
1718725270143363959,1718725272048107824,37372573915103,37372673610394,37374409222726,37374411243268,92.39375000000001,82.0,167.68000738143928
1718725270177343517,1718725272048592620,37372585691064,37372673610394,37374409222726,37374412234358,92.39375000000001,82.0,167.68000738143928
1718725270210078488,1718725272048989014,37372608588903,37372673610394,37374409222726,37374413101824,92.39375000000001,82.0,167.68000738143928
1718725271842862329,1718725273798870110,37374250822926,37374414089496,37376163303133,37376163343404,91.9875,83.0,167.68000738143928
1718725271875156609,1718725273803924797,37374286668220,37374414089496,37376163303133,37376164734789,91.9875,83.0,167.68000738143928
1718725271908889289,1718725273804551838,37374325788585,37374414089496,37376163303133,37376165585730,91.9875,83.0,167.68000738143928
1718725271945094712,1718725273805063105,37374344104355,37374414089496,37376163303133,37376166893146,91.9875,83.0,167.68000738143928
1718725271945094712,1718725273805560939,37374346026048,37374414089496,37376163303133,37376167746256,91.9875,83.0,167.68000738143928
1718725273642589873,1718725275861847693,37376054873681,37376168653239,37378225414709,37378225459684,91.69375,82.0,178.16001018524184
1718725273672664658,1718725275862670652,37376101992593,37376168653239,37378225414709,37378226801012,91.69375,82.0,178.16001018524184
1718725273708493798,1718725275864176192,37376104966616,37376168653239,37378225414709,37378227858692,91.69375,82.0,178.16001018524184
1718725273708493798,1718725275865073273,37376107914838,37376168653239,37378225414709,37378228080023,91.69375,82.0,178.16001018524184
1718725273742305213,1718725275865474992,37376140159950,37376168653239,37378225414709,37378228271947,91.69375,82.0,178.16001018524184
1718725275710681699,1718725277496074878,37378111797902,37378228492054,37379860297645,37379860339020,88.98750000000001,83.0,178.16001018524184
1718725275710681699,1718725277498280987,37378138764843,37378228492054,37379860297645,37379862234639,88.98750000000001,83.0,178.16001018524184
1718725275746557361,1718725277502046548,37378148122444,37378228492054,37379860297645,37379864870384,88.98750000000001,83.0,178.16001018524184
1718725275775161841,1718725277503070880,37378176876518,37378228492054,37379860297645,37379867937529,88.98750000000001,83.0,178.16001018524184
1718725275775161841,1718725277504295792,37378187552213,37378228492054,37379860297645,37379869144399,88.98750000000001,83.0,178.16001018524184
1718725277302708503,1718725278996965253,37379703438722,37379870006820,37381361478901,37381361525090,88.73125,82.0,178.16001018524184
