key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718723045483539065,1718723045636153705,1906343802377192,1906343818265166,1906343846271952,1906343846291132,empty,empty,empty
1718723045511439787,1718723045658592196,1906343836207152,1906343847521608,1906343874486119,1906343874506609,empty,empty,empty
1718723045546779523,1718723045689535389,1906343866272552,1906343875748278,1906343905572158,1906343905593327,empty,empty,empty
1718723045580518933,1718723045722158153,1906343893937419,1906343906844702,1906343938944553,1906343938965622,empty,empty,empty
1718723045616725138,1718723045754153811,1906343925893919,1906343940214658,1906343968270419,1906343968292508,empty,empty,empty
1718723045650300226,1718723045780873158,1906343960570359,1906343969526779,1906343997073779,1906343997095598,empty,empty,empty
1718723045682961844,1718723045814467153,1906343992212892,1906343998320511,1906344026097831,1906344026118339,empty,empty,empty
1718723045717182605,1718723045846819943,1906344024904246,1906344027323103,1906344059582402,1906344059610941,empty,empty,empty
1718723045743166650,1718723045878914973,1906344057327620,1906344060827443,1906344091896174,1906344091921228,empty,empty,empty
1718723045780837747,1718723045924921293,1906344083157483,1906344093183767,1906344116997560,1906344117018017,empty,empty,empty
1718723045817840436,1718723045932891775,1906344120815903,1906344122098241,1906344145806954,1906344145827579,empty,empty,empty
1718723045850683287,1718723045992295669,1906344178670731,1906344180016649,1906344206868792,1906344206888310,empty,empty,empty
1718723045882319583,1718723046024026041,1906344202441931,1906344208107976,1906344234298589,1906344234319628,empty,empty,empty
1718723045915961066,1718723046052446363,1906344238158856,1906344239473951,1906344265608747,1906344265628766,empty,empty,empty
1718723045946720740,1718723046088029016,1906344272710949,1906344274000913,1906344299788158,1906344299809361,empty,empty,empty
1718723045978915564,1718723046112928660,1906344300682634,1906344302027938,1906344327032153,1906344327052538,36.80625,84.0,empty
1718723046017575937,1718723046164702796,1906344346802592,1906344348322149,1906344380964052,1906344380987023,36.80625,84.0,empty
1718723046043666585,1718723046193273163,1906344361318310,1906344382223124,1906344409468653,1906344409489435,36.80625,84.0,empty
1718723046081013820,1718723046222452439,1906344391210551,1906344410717380,1906344435135834,1906344435156184,36.80625,84.0,empty
1718723046115845629,1718723046248187665,1906344436906271,1906344438274039,1906344463854003,1906344463875315,36.80625,84.0,empty
1718723046150641859,1718723046281364448,1906344466987776,1906344468300208,1906344492864362,1906344492884661,36.80625,84.0,empty
