key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718726002586973735,1718726003497331720,611917483211783,611917484643730,611917567020179,611917567056038,empty,empty,empty
1718726002625026463,1718726003613081555,611917588274111,611917589716862,611917678456970,611917678493932,empty,empty,empty
1718726002658348817,1718726003686909260,611917685147946,611917686541426,611917756220642,611917756258340,empty,empty,empty
1718726002958368958,1718726003814421333,611917795916278,611917797413431,611917879615091,611917879655923,empty,empty,empty
1718726002995041941,1718726003921248730,611917902220488,611917904035348,611917983803108,611917983839438,empty,empty,empty
1718726003037552223,1718726004028859430,611917992892273,611917994628925,611918099201137,611918099237577,empty,empty,empty
1718726003071341293,1718726004136555448,611918101370199,611918103022873,611918201406579,611918201464904,52.15625,78.0,empty
1718726003151624026,1718726004219457369,611918218391331,611918219863657,611918290107591,611918290143740,52.15625,78.0,empty
1718726003490726588,1718726004331408199,611918299935167,611918301545022,611918395116542,611918395155508,52.15625,78.0,empty
1718726003524864825,1718726004417981877,611918396788307,611918398325933,611918488831754,611918488868553,52.15625,78.0,empty
1718726003558383460,1718726004497792066,611918461755422,611918490256431,611918562479362,611918562518961,52.15625,78.0,empty
1718726003823559035,1718726004595054731,611918569557065,611918570999524,611918661715603,611918661752776,52.15625,78.0,empty
1718726003857897586,1718726004856512858,611918854750833,611918856330703,611918927142892,611918927184595,52.15625,78.0,172.5899949884415
1718726003891794760,1718726004929316850,611918898073350,611918928574933,611918998790720,611918998827619,52.15625,78.0,172.5899949884415
1718726004125087322,1718726005002922474,611918977929791,611919000198753,611919068855835,611919068891207,52.15625,78.0,172.5899949884415
1718726004157839448,1718726005225007144,611919167212013,611919168856645,611919292254776,611919292300997,40.1875,77.0,172.5899949884415
1718726004187291244,1718726005355118169,611919340738007,611919342179976,611919424362346,611919424440924,40.1875,77.0,172.5899949884415
1718726004393265255,1718726005527735366,611919525119145,611919526613925,611919589214149,611919589248613,40.1875,77.0,156.89999771118164
1718726004424140933,1718726006002918074,611919965367513,611919966926217,611920062891454,611920062925397,40.1875,77.0,156.89999771118164
1718726004452973362,1718726006153289073,611920136860401,611920138319626,611920219398706,611920219444852,56.36875,78.0,156.89999771118164
1718726004791525431,1718726006279744140,611920251875332,611920253380111,611920344158503,611920344195543,56.36875,78.0,156.89999771118164
1718726004824487258,1718726006430898926,611920435671397,611920437131995,611920498807142,611920498848839,56.36875,78.0,203.97000201225273
1718726004857488955,1718726006575578471,611920560375897,611920561822289,611920639010524,611920639054973,56.36875,78.0,203.97000201225273
