key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718723370784446345,1718723370973232090,1906669137721305,1906669161803885,1906669212077712,1906669212097556,empty,empty,empty
1718723370817492202,1718723370973976124,1906669159066726,1906669161803885,1906669212077712,1906669212240944,empty,empty,empty
1718723370850907867,1718723371068334205,1906669274255236,1906669275603743,1906669305096833,1906669305116679,empty,empty,empty
1718723370887211594,1718723371101967108,1906669302281289,1906669306340486,1906669333755500,1906669333775342,66.0875,79.0,empty
1718723370984125625,1718723371151954243,1906669307997029,1906669335003512,1906669387556871,1906669387582872,66.0875,79.0,empty
1718723371014365670,1718723371152807935,1906669325009655,1906669335003512,1906669387556871,1906669387743758,66.0875,79.0,empty
1718723371051063654,1718723371201752110,1906669356188477,1906669388913003,1906669440269003,1906669440289262,66.0875,79.0,empty
1718723371084308872,1718723371202458927,1906669383979237,1906669388913003,1906669440269003,1906669440448641,66.0875,79.0,empty
1718723371114034659,1718723371231274690,1906669411588922,1906669441610110,1906669466985187,1906669467005489,66.0875,79.0,empty
1718723371149681917,1718723371258667507,1906669448478658,1906669468248619,1906669494704716,1906669494729323,66.0875,79.0,empty
1718723371184414173,1718723371283487439,1906669483638627,1906669495960952,1906669522077696,1906669522097214,66.0875,79.0,empty
1718723371213988841,1718723371312683365,1906669512132865,1906669523324136,1906669550882107,1906669550901918,66.0875,79.0,empty
1718723371251401265,1718723371340078543,1906669550158292,1906669552123125,1906669579403844,1906669579426312,66.0875,79.0,empty
1718723371282073905,1718723371368933224,1906669581176556,1906669582522875,1906669609007509,1906669609028015,66.0875,79.0,empty
1718723371317580117,1718723371407079027,1906669614012764,1906669615312052,1906669645645234,1906669645665188,66.0875,79.0,136.75999101638808
1718723371351007713,1718723371444592891,1906669656637747,1906669657915020,1906669684182027,1906669684204856,66.0875,79.0,136.75999101638808
1718723371384755631,1718723371485372293,1906669689745484,1906669691035657,1906669716323014,1906669716343376,66.0875,79.0,136.75999101638808
1718723371414642241,1718723371545365116,1906669740479792,1906669741783406,1906669772733894,1906669772756627,66.0875,79.0,136.75999101638808
1718723371445739027,1718723371568416654,1906669761324842,1906669773992747,1906669804132495,1906669804155427,66.0875,79.0,136.75999101638808
1718723371483751288,1718723371599749818,1906669793113961,1906669805381603,1906669835222509,1906669835245723,66.0875,79.0,136.75999101638808
1718723371515688381,1718723371634019269,1906669825308065,1906669836476161,1906669870020821,1906669870041308,66.0875,79.0,136.75999101638808
1718723371550311843,1718723371664103801,1906669857947765,1906669871269081,1906669899364983,1906669899384727,66.0875,79.0,136.75999101638808
1718723371583635175,1718723371696263440,1906669887712439,1906669900620142,1906669930354947,1906669930378743,66.0875,79.0,136.75999101638808
1718723371617406903,1718723371716938325,1906669915084465,1906669931610066,1906669957307063,1906669957333032,66.0875,79.0,136.75999101638808
1718723371651121381,1718723371745235052,1906669951053661,1906669958577169,1906669985858461,1906669985879889,66.0875,79.0,136.75999101638808
1718723371683442906,1718723371787688843,1906669982675984,1906669987087458,1906670014191548,1906670014211945,66.0875,79.0,136.75999101638808
1718723371717573325,1718723371809558756,1906670015528641,1906670016891951,1906670041515623,1906670041534519,66.0875,79.0,136.75999101638808
1718723371750935436,1718723371863026548,1906670068837833,1906670070405646,1906670101428567,1906670101447808,66.0875,79.0,136.75999101638808
1718723371784132145,1718723371889170623,1906670094483786,1906670102677855,1906670129634068,1906670129654502,66.0875,79.0,136.75999101638808
1718723371817562152,1718723371917391822,1906670125473073,1906670130873198,1906670158087298,1906670158107070,66.0875,79.0,136.75999101638808
1718723371847892624,1718723371944459232,1906670157433577,1906670159327241,1906670184920343,1906670184941070,66.0875,79.0,136.75999101638808
1718723371884426203,1718723371978419192,1906670189510225,1906670190797559,1906670217863400,1906670217884031,66.0875,79.0,136.75999101638808
1718723371914306984,1718723372011147292,1906670211492239,1906670219116153,1906670250695734,1906670250716423,66.0875,79.0,136.75999101638808
1718723371950935879,1718723372040492289,1906670247442540,1906670251927817,1906670278101715,1906670278122573,66.0875,79.0,136.75999101638808
1718723371983712585,1718723372067721175,1906670281017078,1906670282316974,1906670308223703,1906670308249785,66.0875,79.0,136.75999101638808
1718723372012998842,1718723372110806783,1906670309357615,1906670310694745,1906670336237053,1906670336257594,47.64375,80.0,136.75999101638808
1718723372050925277,1718723372148235115,1906670358415088,1906670359741560,1906670386535755,1906670386558211,47.64375,80.0,136.75999101638808
1718723372082737132,1718723372183293725,1906670393194811,1906670394495408,1906670423565669,1906670423586464,47.64375,80.0,136.75999101638808
1718723372117678744,1718723372211998261,1906670419095834,1906670424796711,1906670452016614,1906670452045555,47.64375,80.0,136.75999101638808
1718723372150450682,1718723372253964814,1906670452213509,1906670453537709,1906670479843605,1906670479864164,47.64375,80.0,136.75999101638808
1718723372183362917,1718723372322115794,1906670511801994,1906670513442016,1906670543244649,1906670543264678,47.64375,80.0,136.75999101638808
1718723372217942825,1718723372383525463,1906670574444269,1906670575839258,1906670603643626,1906670603663943,47.64375,80.0,136.75999101638808
1718723372251067316,1718723372464408849,1906670644343724,1906670645903319,1906670677896903,1906670677916902,47.64375,80.0,131.49999618530273
1718723372284535818,1718723372508667310,1906670696101451,1906670697405112,1906670724576206,1906670724595946,47.64375,80.0,131.49999618530273
1718723372312740421,1718723372554457913,1906670743574460,1906670744863453,1906670772195077,1906670772214778,47.64375,80.0,131.49999618530273
1718723372348176472,1718723372624398696,1906670798201828,1906670799524444,1906670825768310,1906670825788367,47.64375,80.0,131.49999618530273
1718723372383825026,1718723372641999084,1906670838581736,1906670839885524,1906670864252485,1906670864280873,47.64375,80.0,131.49999618530273
1718723372416075519,1718723372713123795,1906670901942753,1906670903468178,1906670927833126,1906670927852981,47.64375,80.0,131.49999618530273
1718723372450779098,1718723372778784942,1906670957111751,1906670958436629,1906670982889515,1906670982909144,47.64375,80.0,131.49999618530273
1718723372484052711,1718723372818696356,1906671010605802,1906671011935450,1906671040709963,1906671040729722,47.64375,80.0,131.49999618530273
1718723372517354924,1718723372882190054,1906671062657933,1906671063967171,1906671090242176,1906671090262094,47.64375,80.0,131.49999618530273
1718723372550569309,1718723372941286305,1906671123428009,1906671124969450,1906671152802604,1906671152821993,47.64375,80.0,131.49999618530273
1718723372582481704,1718723373083644408,1906671237770566,1906671239098401,1906671286598310,1906671286625756,47.64375,80.0,131.49999618530273
1718723372617314356,1718723373103382709,1906671272204318,1906671287913655,1906671319433550,1906671319453809,35.5875,78.0,131.49999618530273
1718723372645552416,1718723373165128052,1906671362730440,1906671364013147,1906671391536828,1906671391558231,35.5875,78.0,131.49999618530273
1718723372684946103,1718723373210194822,1906671411985102,1906671413319441,1906671441025430,1906671441045153,35.5875,78.0,131.49999618530273
1718723372717130837,1718723373238657329,1906671444351689,1906671445642478,1906671472440037,1906671472467230,35.5875,78.0,131.49999618530273
1718723372748160914,1718723373271180531,1906671472633624,1906671473981296,1906671501178974,1906671501204863,35.5875,78.0,131.49999618530273
1718723372784338448,1718723373309872185,1906671497696335,1906671502464096,1906671533749686,1906671533771175,35.5875,78.0,131.49999618530273
1718723372817214582,1718723373351249004,1906671529463584,1906671535014531,1906671565767360,1906671565787195,35.5875,78.0,131.49999618530273
