key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718724032434022610,1718724032807560424,1907331061484265,1907331062872747,1907331090690290,1907331090709927,empty,empty,empty
1718724032536520362,1718724032883592248,1907331139043647,1907331140402901,1907331171452665,1907331171472104,empty,empty,empty
1718724032566862749,1718724032939296990,1907331165065171,1907331172705374,1907331196674056,1907331196693302,empty,empty,empty
1718724032603728007,1718724033022161433,1907331281808842,1907331283115577,1907331310394480,1907331310413786,empty,empty,empty
1718724032632497352,1718724033062134614,1907331314392401,1907331315682767,1907331348497876,1907331348522133,empty,empty,empty
1718724032733289676,1718724033090339905,1907331343628066,1907331349769902,1907331377409552,1907331377431656,empty,empty,empty
1718724032868391872,1718724033124181153,1907331375194531,1907331378670697,1907331409167558,1907331409186822,44.66875,84.0,empty
1718724032903666098,1718724033152904496,1907331401670192,1907331410428075,1907331437279905,1907331437298514,44.66875,84.0,empty
1718724032933194284,1718724033174743851,1907331434390707,1907331438514162,1907331463040185,1907331463065465,44.66875,84.0,empty
1718724032969282864,1718724033204601212,1907331466889817,1907331468190376,1907331492658114,1907331492677751,44.66875,84.0,empty
1718724033003585669,1718724033245187979,1907331498721847,1907331500030165,1907331530109684,1907331530137446,44.66875,84.0,empty
1718724033036198133,1718724033280878245,1907331532062667,1907331533443548,1907331567392544,1907331567416142,44.66875,84.0,empty
1718724033065926517,1718724033331430441,1907331555306369,1907331568675569,1907331597167504,1907331597196486,44.66875,84.0,empty
1718724033102454750,1718724033348859685,1907331603745985,1907331605058314,1907331635842198,1907331635866675,44.66875,84.0,empty
1718724033135712397,1718724033382946424,1907331622787538,1907331637168906,1907331667600949,1907331667626927,44.66875,84.0,empty
1718724033166418674,1718724033419217004,1907331647662882,1907331668894044,1907331700579646,1907331700603949,44.66875,84.0,136.49999499320984
1718724033200387889,1718724033447712822,1907331680407380,1907331701856653,1907331732023474,1907331732046799,44.66875,84.0,136.49999499320984
1718724033235676416,1718724033479446969,1907331705622078,1907331733302194,1907331762394246,1907331762416432,44.66875,84.0,136.49999499320984
1718724033267319574,1718724033502324293,1907331755151543,1907331763656226,1907331789952235,1907331789971815,44.66875,84.0,136.49999499320984
1718724033300105128,1718724033542806416,1907331779869035,1907331791213263,1907331820651157,1907331820675242,44.66875,84.0,136.49999499320984
