key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718724410836068804,1718724411251960994,1907709536293443,1907709537835120,1907709566371490,1907709566392626,empty,empty,empty
1718724410867817011,1718724411281138863,1907709553593372,1907709567633059,1907709594710980,1907709594731046,empty,empty,empty
1718724411002319316,1718724411307017538,1907709577236137,1907709595961829,1907709623162647,1907709623183415,empty,empty,empty
1718724411136067789,1718724411339984180,1907709602965407,1907709624432825,1907709652740310,1907709652760628,empty,empty,empty
1718724411203190394,1718724411366096708,1907709634868466,1907709654002103,1907709681205919,1907709681228181,empty,empty,empty
1718724411236172591,1718724411394273094,1907709657823133,1907709682476556,1907709710062039,1907709710084240,empty,empty,empty
1718724411266870564,1718724411474252075,1907709684800649,1907709711305595,1907709761071522,1907709761092611,empty,empty,126.24000135421738
1718724411303298183,1718724411489259139,1907709702464749,1907709711305595,1907709761071522,1907709761236876,empty,empty,126.24000135421738
1718724411331523469,1718724411489923053,1907709732282106,1907709762383463,1907709786676322,1907709786697606,empty,empty,126.24000135421738
1718724411367558428,1718724411547570974,1907709828447236,1907709829968369,1907709861229701,1907709861250961,empty,empty,126.24000135421738
1718724411400569034,1718724411576384278,1907709852520766,1907709862466633,1907709888439115,1907709888459628,empty,empty,126.24000135421738
1718724411433743086,1718724411604458927,1907709883545464,1907709889669445,1907709916595093,1907709916616627,empty,empty,126.24000135421738
1718724411466834730,1718724411630111832,1907709908264762,1907709917831509,1907709944674218,1907709944697578,empty,empty,126.24000135421738
1718724411500620783,1718724411662325376,1907709932522485,1907709945919224,1907709972582196,1907709972602068,empty,empty,126.24000135421738
1718724411533948237,1718724411688693757,1907709961822440,1907709973833363,1907710001637314,1907710001658374,empty,empty,126.24000135421738
1718724411567199050,1718724411739995035,1907709979478664,1907710002870035,1907710053296488,1907710053317417,empty,empty,126.24000135421738
1718724411601333784,1718724411742750763,1907709997162268,1907710002870035,1907710053296488,1907710053460013,empty,empty,126.24000135421738
1718724411636172181,1718724411772325972,1907710018167026,1907710054618115,1907710081977509,1907710081997098,empty,empty,126.24000135421738
1718724411669056251,1718724411793852518,1907710072213665,1907710083228115,1907710108033801,1907710108053442,empty,empty,126.24000135421738
1718724411702707417,1718724411823911089,1907710101957577,1907710109277659,1907710133888434,1907710133910016,empty,empty,126.24000135421738
1718724411735829778,1718724411851131760,1907710137537116,1907710138877912,1907710165883521,1907710165905165,empty,empty,126.24000135421738
1718724411768889913,1718724411885007519,1907710171639867,1907710172974565,1907710200520965,1907710200539835,empty,empty,126.24000135421738
1718724411802660297,1718724411912736789,1907710190401873,1907710201772418,1907710227654694,1907710227675488,empty,empty,126.24000135421738
1718724411835706575,1718724411940540114,1907710211381667,1907710228922117,1907710253772359,1907710253792503,empty,empty,126.24000135421738
1718724411869103547,1718724411975115737,1907710259152995,1907710260462013,1907710286152805,1907710286173410,empty,empty,126.24000135421738
1718724411902699593,1718724412010117223,1907710288288973,1907710289662298,1907710314106513,1907710314127751,empty,empty,126.24000135421738
1718724411935379833,1718724412071972779,1907710356200598,1907710357619425,1907710385058643,1907710385080570,empty,empty,126.24000135421738
1718724411968905689,1718724412105788236,1907710392124025,1907710393439736,1907710420902497,1907710420926453,31.6625,77.0,126.24000135421738
1718724412001933188,1718724412138850196,1907710418632417,1907710422150771,1907710451696498,1907710451722130,31.6625,77.0,126.24000135421738
1718724412035600021,1718724412170653208,1907710444152993,1907710452962390,1907710482370643,1907710482395323,31.6625,77.0,126.24000135421738
1718724412068665525,1718724412194056157,1907710468976066,1907710483629719,1907710510139482,1907710510160668,31.6625,77.0,126.24000135421738
1718724412102625855,1718724412221115078,1907710494048647,1907710511382587,1907710536805224,1907710536829008,31.6625,77.0,126.24000135421738
1718724412135052779,1718724412281042065,1907710513107675,1907710539028204,1907710589687948,1907710589710566,31.6625,77.0,126.24000135421738
1718724412164635092,1718724412282316201,1907710537685693,1907710539028204,1907710589687948,1907710589856066,31.6625,77.0,126.24000135421738
1718724412202967106,1718724412310513047,1907710591278584,1907710592627741,1907710619156694,1907710619178075,31.6625,77.0,126.24000135421738
