key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718720658321758687,1718720660520241216,32760735837573,32761041422942,32762884421542,32762884481771,93.73750000000001,88.0,147.27999321937568
1718720658355882730,1718720660520828383,32760766190006,32761041422942,32762884421542,32762884831662,93.73750000000001,88.0,147.27999321937568
1718720658390645953,1718720660521343044,32760809660057,32761041422942,32762884421542,32762885030375,93.73750000000001,88.0,147.27999321937568
1718720658423197776,1718720660522229063,32760828507362,32761041422942,32762884421542,32762885196959,93.73750000000001,88.0,147.27999321937568
1718720658490541019,1718720660522743438,32760898622582,32761041422942,32762884421542,32762885404618,93.73750000000001,88.0,147.27999321937568
1718720660289894489,1718720663074178578,32762703499871,32762885647086,32765438731704,32765438773605,99.38125,87.0,147.27999321937568
1718720660322607946,1718720663074722989,32762741048815,32762885647086,32765438731704,32765439051932,99.38125,87.0,147.27999321937568
1718720660356874598,1718720663075259784,32762781803775,32762885647086,32765438731704,32765439205677,99.38125,87.0,147.27999321937568
1718720660418850088,1718720663075711590,32762839827600,32762885647086,32765438731704,32765439344531,99.38125,87.0,147.27999321937568
1718720660452168574,1718720663076085650,32762850053477,32762885647086,32765438731704,32765439478308,99.38125,87.0,147.27999321937568
1718720662856639563,1718720665008183915,32765266424334,32765439640006,32767372369985,32767372412020,95.96875,87.0,147.27999321937568
1718720662891168974,1718720665008804337,32765293598033,32765439640006,32767372369985,32767372739000,95.96875,87.0,147.27999321937568
1718720662891168974,1718720665009302144,32765321212762,32765439640006,32767372369985,32767373153388,95.96875,87.0,147.27999321937568
1718720662923346221,1718720665009785273,32765332745656,32765439640006,32767372369985,32767373393760,95.96875,87.0,147.27999321937568
1718720662923346221,1718720665010256767,32765336016262,32765439640006,32767372369985,32767373619494,95.96875,87.0,147.27999321937568
1718720664789108826,1718720666881195572,32767188234919,32767373888159,32769242911812,32769242960725,94.5875,87.0,152.54000059127793
1718720664826818674,1718720666881856742,32767230602460,32767373888159,32769242911812,32769243300520,94.5875,87.0,152.54000059127793
1718720664826818674,1718720666882350500,32767232519830,32767373888159,32769242911812,32769243525957,94.5875,87.0,152.54000059127793
1718720664889682644,1718720666882817339,32767301255560,32767373888159,32769242911812,32769243722648,94.5875,87.0,152.54000059127793
1718720664923023606,1718720666883295671,32767320347843,32767373888159,32769242911812,32769243976109,94.5875,87.0,152.54000059127793
1718720666456618769,1718720668798531718,32768871060764,32769244194944,32771163139266,32771163171687,92.575,87.0,157.79999542236328
1718720666522003181,1718720668799206756,32768922367477,32769244194944,32771163139266,32771163453204,92.575,87.0,157.79999542236328
