key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718807322874317583,1718807323242352179,1990621092714003,1990621094028034,1990621122719659,1990621122745118,empty,empty,empty
1718807322940697903,1718807323265962454,1990621118210886,1990621123957978,1990621148714842,1990621148738091,empty,empty,empty
1718807322968448724,1718807323304560735,1990621160488933,1990621161785020,1990621187120054,1990621187143810,empty,empty,empty
1718807323001783344,1718807323333251687,1990621193025495,1990621194330965,1990621219112559,1990621219139139,empty,empty,empty
1718807323038294007,1718807323384642378,1990621235940452,1990621237264589,1990621264181064,1990621264204267,empty,empty,empty
1718807323075082059,1718807323404698750,1990621258242403,1990621265412917,1990621290377628,1990621290397480,empty,empty,empty
1718807323108371564,1718807323442600073,1990621293237360,1990621294529696,1990621323871755,1990621323897599,empty,empty,empty
1718807323141037944,1718807323487709359,1990621332044533,1990621333336752,1990621364030202,1990621364055650,empty,empty,empty
1718807323174730354,1718807323516822567,1990621353735868,1990621365296206,1990621395678263,1990621395702486,empty,empty,empty
1718807323208362578,1718807323567722079,1990621381254536,1990621396949461,1990621426669097,1990621426695474,empty,empty,empty
1718807323241533606,1718807323568736712,1990621422436997,1990621427916855,1990621456746759,1990621456770482,empty,empty,empty
1718807323274953114,1718807323630718822,1990621475034964,1990621476322179,1990621505690837,1990621505717276,empty,empty,empty
1718807323308206242,1718807323678853720,1990621525763935,1990621527061003,1990621556673545,1990621556697040,empty,empty,empty
1718807323341260243,1718807323707344354,1990621560552501,1990621561874077,1990621591381832,1990621591406671,empty,empty,empty
1718807323371807666,1718807323772043281,1990621608719772,1990621610032541,1990621639601869,1990621639622048,empty,empty,empty
1718807323401769607,1718807323803512285,1990621632849776,1990621640858069,1990621668973651,1990621668995581,empty,empty,empty
1718807323441944283,1718807323868154029,1990621724816374,1990621726119955,1990621755558663,1990621755585435,empty,empty,empty
1718807323468164216,1718807323903806816,1990621765220328,1990621766522863,1990621793644133,1990621793664840,empty,empty,empty
1718807323508320015,1718807323936803933,1990621792394999,1990621794869509,1990621821966360,1990621821995603,empty,empty,empty
1718807323541728324,1718807323975324129,1990621826125695,1990621827429816,1990621857539018,1990621857562126,empty,empty,empty
1718807323574925810,1718807324011845839,1990621855170927,1990621858778987,1990621884335635,1990621884358254,empty,empty,empty
1718807323608408262,1718807324072630167,1990621926769365,1990621928366220,1990621956680296,1990621956701500,empty,empty,empty
1718807323641562328,1718807324133994715,1990621982554600,1990621983879111,1990622013463793,1990622013488495,empty,empty,empty
1718807323674811620,1718807324184851302,1990622023117570,1990622024428844,1990622052155520,1990622052178614,empty,empty,empty
1718807323708180541,1718807324233528138,1990622079177715,1990622080502719,1990622109405112,1990622109424964,empty,empty,empty
1718807323741400582,1718807324278233527,1990622131134060,1990622132433996,1990622163322216,1990622163350600,empty,empty,empty
1718807323808624275,1718807324348462344,1990622182748183,1990622184121871,1990622215545654,1990622215569865,empty,empty,empty
1718807323839842547,1718807324376588699,1990622218596182,1990622219902417,1990622246400702,1990622246421767,empty,empty,empty
1718807323874686255,1718807324424799008,1990622274907678,1990622276217265,1990622309019668,1990622309039837,empty,empty,empty
1718807323904665201,1718807324496203907,1990622347974733,1990622349355322,1990622375773422,1990622375795829,empty,empty,empty
1718807323938533681,1718807324533370517,1990622392591947,1990622393915506,1990622419662216,1990622419684740,empty,empty,empty
1718807323968341353,1718807324581635992,1990622434759663,1990622436039080,1990622463947668,1990622463970262,empty,empty,empty
1718807324075009573,1718807324610536646,1990622460093633,1990622465219029,1990622493795943,1990622493815718,empty,empty,empty
1718807324107779998,1718807324635759584,1990622486705115,1990622495027484,1990622522415399,1990622522436313,empty,empty,empty
1718807324141056456,1718807324676698409,1990622520207913,1990622523650416,1990622548744694,1990622548767076,empty,empty,empty
1718807324237006362,1718807324728653488,1990622567857054,1990622569298534,1990622595626466,1990622595646032,empty,empty,empty
1718807324275042146,1718807324760350774,1990622611536406,1990622612849708,1990622638711589,1990622638734949,empty,empty,empty
1718807324307965364,1718807324785638743,1990622642599323,1990622643890900,1990622671559050,1990622671582032,empty,empty,empty
1718807324368471719,1718807324854011760,1990622703838688,1990622705450706,1990622733883662,1990622733904369,empty,empty,empty
1718807324404961423,1718807324875236723,1990622719808802,1990622735122891,1990622759946697,1990622759969228,empty,empty,empty
1718807324442138810,1718807324930069550,1990622778715777,1990622780011628,1990622807303304,1990622807325517,empty,empty,empty
