key_timestamp,final_node_timestamp,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,cpu_load,cpu_temp,power_consumption
1718290122716542341,1718290122860381073,1473422771852972,1473422773178187,1473422816926690,1473422816951470,empty,empty,0.0
1718290122749369938,1718290122908332858,1473422785737328,1473422818189601,1473422869441158,1473422869467952,empty,empty,0.0
1718290122782785413,1718290122923932520,1473422810119491,1473422818189601,1473422869441158,1473422869641908,empty,empty,0.0
1718290122815908981,1718290122939747267,1473422846780380,1473422870841407,1473422897732260,1473422897753180,empty,empty,0.0
1718290122851013307,1718290122964532975,1473422873553920,1473422899009347,1473422925189708,1473422925210078,empty,empty,0.0
1718290122882992551,1718290122999099694,1473422910123193,1473422926446666,1473422953814907,1473422953838015,empty,empty,0.0
1718290122915871912,1718290123018045061,1473422943644666,1473422955085016,1473422980898107,1473422980921840,empty,empty,0.0
1718290122949360246,1718290123042826868,1473422973711601,1473422982146653,1473423006488657,1473423006511262,empty,empty,0.0
1718290122982834081,1718290123071792992,1473423008573500,1473423009946037,1473423035154989,1473423035177013,empty,empty,0.0
1718290123015960606,1718290123106545375,1473423038892532,1473423040199192,1473423067945774,1473423067971006,empty,empty,0.0
1718290123049339381,1718290123154106243,1473423086526431,1473423087817512,1473423116102807,1473423116123777,empty,empty,0.0
1718290123082781391,1718290123179951097,1473423105326649,1473423117351048,1473423143529972,1473423143553001,empty,empty,0.0
1718290123115891051,1718290123208394042,1473423143730320,1473423145050908,1473423170613313,1473423170635035,empty,empty,0.0
1718290123149411940,1718290123241187238,1473423174199385,1473423175491633,1473423202023281,1473423202043085,empty,empty,0.0
1718290123182953739,1718290123280121773,1473423217660576,1473423218962202,1473423245004327,1473423245027732,empty,empty,0.0
1718290123215912329,1718290123306942240,1473423237839448,1473423246259100,1473423271899460,1473423271921751,empty,empty,0.0
1718290123249145842,1718290123344763287,1473423274888696,1473423276184756,1473423302565046,1473423302586617,empty,empty,0.0
1718290123282835763,1718290123378056985,1473423306089024,1473423307380962,1473423332312625,1473423332336532,empty,empty,0.0
1718290123315913701,1718290123411721782,1473423346023131,1473423347309806,1473423376342377,1473423376367128,empty,empty,0.0
1718290123349125157,1718290123449708981,1473423384234833,1473423385513036,1473423414798459,1473423414822842,empty,empty,0.0
1718290123383208262,1718290123480997316,1473423413984909,1473423416028974,1473423445448545,1473423445474919,empty,empty,0.0
1718290123415948762,1718290123510190967,1473423440918319,1473423446704349,1473423474992272,1473423475015799,empty,empty,0.0
1718290123449386564,1718290123558902742,1473423490113109,1473423491405061,1473423518316848,1473423518337191,empty,empty,0.0
1718290123483017774,1718290123584655269,1473423505294673,1473423519555238,1473423546233716,1473423546257664,empty,empty,0.0
1718290123516071981,1718290123612636343,1473423545468540,1473423547468648,1473423576982583,1473423577007434,empty,empty,0.0
1718290123549238565,1718290123641240245,1473423573965469,1473423578234632,1473423606198315,1473423606224277,empty,empty,0.0
1718290123582839998,1718290123672643857,1473423607086207,1473423608419559,1473423637199626,1473423637226647,empty,empty,0.0
1718290123615979622,1718290123708682033,1473423640800085,1473423642089714,1473423666417170,1473423666439437,empty,empty,0.0
1718290123649176096,1718290123757132894,1473423690268005,1473423691612243,1473423718393988,1473423718415586,empty,empty,0.0
1718290123682832863,1718290123782032177,1473423707871563,1473423719641685,1473423746157558,1473423746177749,empty,empty,0.0
1718290123715783766,1718290123852727780,1473423741798360,1473423747383156,1473423773006008,1473423773026910,empty,empty,0.0
1718290123749191593,1718290123858378648,1473423788855826,1473423790159038,1473423817780733,1473423817801724,empty,empty,0.0
1718290123782741345,1718290123912216022,1473423843110143,1473423844411802,1473423871435760,1473423871457496,empty,empty,0.0
1718290123815898878,1718290123943430857,1473423874793023,1473423876121183,1473423906281609,1473423906303133,empty,empty,0.0
1718290123852256516,1718290123974565159,1473423895612163,1473423907539266,1473423935455396,1473423935477213,empty,empty,0.0
1718290123885177450,1718290124006057795,1473423915458178,1473423936718690,1473423962603828,1473423962623725,empty,empty,0.0
1718290123949193236,1718290124046680932,1473423982333322,1473423983641947,1473424010601360,1473424010622979,empty,empty,0.0
1718290123982748968,1718290124073709510,1473424007331801,1473424011839176,1473424037657162,1473424037678197,empty,empty,0.0
1718290124015890867,1718290124144997148,1473424078913590,1473424080295195,1473424109991255,1473424110012273,empty,empty,0.0
1718290124049413427,1718290124238905273,1473424091625884,1473424112461748,1473424161977448,1473424161998362,empty,empty,0.0
1718290124082895038,1718290124239557574,1473424111129682,1473424112461748,1473424161977448,1473424162143727,empty,empty,0.0
1718290124115960509,1718290124240921271,1473424167508446,1473424168853209,1473424194066421,1473424194087074,empty,empty,0.0
1718290124149168601,1718290124309898638,1473424236929429,1473424238318742,1473424269868706,1473424269895848,empty,empty,0.0
1718290124182859099,1718290124339268182,1473424271672059,1473424273041487,1473424303938924,1473424303965612,empty,empty,0.0
1718290124215897421,1718290124372223787,1473424299844714,1473424305212143,1473424334498232,1473424334522070,empty,empty,0.0
1718290124249446406,1718290124401558746,1473424327906482,1473424335740140,1473424365439945,1473424365467196,empty,empty,0.0
1718290124282734808,1718290124431514276,1473424358245640,1473424366699842,1473424394823889,1473424394845844,empty,empty,0.0
1718290124315818464,1718290124461821640,1473424389656714,1473424396038166,1473424423069574,1473424423092708,empty,empty,0.0
1718290124349272081,1718290124493261443,1473424417325878,1473424424304404,1473424450981286,1473424451005796,empty,empty,0.0
1718290124382976553,1718290124517744093,1473424443558527,1473424452237733,1473424480851268,1473424480874456,empty,empty,0.0
1718290124415855341,1718290124545442248,1473424480423458,1473424482100389,1473424508698636,1473424508718906,empty,empty,0.0
1718290124449290098,1718290124573589604,1473424506586823,1473424509947597,1473424537096541,1473424537119617,empty,empty,0.0
1718290124482751545,1718290124600237773,1473424525158127,1473424538358341,1473424564611733,1473424564633418,empty,empty,0.0
1718290124515919852,1718290124632255387,1473424562925522,1473424565843884,1473424589946733,1473424589968202,empty,empty,0.0
1718290124549259314,1718290124695069468,1473424607940325,1473424609263122,1473424634768678,1473424634790627,empty,empty,0.0
1718290124582567585,1718290124773309390,1473424697433224,1473424699022487,1473424732358638,1473424732382655,empty,empty,0.0
1718290124616101922,1718290124797662107,1473424716474778,1473424733617852,1473424762853921,1473424762875085,empty,empty,0.0
1718290124649050896,1718290124827948662,1473424738697736,1473424764108142,1473424789876817,1473424789899440,empty,empty,0.0
1718290124682660985,1718290124851363233,1473424776418679,1473424791127661,1473424816601774,1473424816622870,empty,empty,0.0
1718290124715733099,1718290124878542956,1473424809848108,1473424817839279,1473424844078624,1473424844099013,empty,empty,0.0
1718290124749050646,1718290124911827847,1473424835939459,1473424845306327,1473424869445192,1473424869469785,empty,empty,0.0
1718290124782623936,1718290124934144317,1473424871829893,1473424873266263,1473424899130537,1473424899151011,empty,empty,0.0
1718290124815778855,1718290124976125208,1473424912298521,1473424913623382,1473424939255498,1473424939277321,empty,empty,0.0
1718290124848959922,1718290125011567529,1473424942254264,1473424943565439,1473424973358763,1473424973380400,empty,empty,0.0
